event_id,newcomers-always-on-oldcomer-originated-paths,rpki-some-newcomer-unknown-roa,all-newcomers-stub-ases,irr-LACNIC-all-newcomer-no-record,hegemony-valley-paths,some-newcomers-stub-ases,some-victims-stub-ases,rpki-all-oldcomer-unknown-roa,rpki-all-newcomer-unknown-roa,irr-LACNIC-all-oldcomer-no-record,rpki-some-oldcomer-unknown-roa,not-previously-announced-by-any-newcomer,all-victims-stub-ases,irr-RADB-all-newcomer-more-specific-record,irr-RADB-all-oldcomer-no-record,irr-RADB-some-newcomer-exact-record,irr-RADB-all-oldcomer-exact-record,irr-RADB-some-newcomer-more-specific-record,prefix-small-edit-distance,all-origins-same-country,irr-RADB-all-newcomer-exact-record,previously-announced-by-some-newcomers,irr-RADB-all-newcomer-no-record,oldcomer-path-prepending,rpki-all-oldcomer-valid-roa,rpki-all-newcomer-invalid-roa,rpki-some-oldcomer-valid-roa,rpki-some-newcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-some-oldcomer-invalid-roa,rpki-all-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,rpki-some-newcomer-valid-roa,previously-announced-by-all-newcomers,rpki-all-newcomer-valid-roa,some-newcomers-are-rel-upstream,some-newcomers-are-rel-neighbor,some-newcomers-are-providers,irr-RADB-all-oldcomer-more-specific-record,outdated-info,newcomer-more-specific,single-Tier-1-upstream-on-subpaths-1-hop,spamhaus-asn-drop,irr-RADB-some-oldcomer-no-record,irr-RADB-some-newcomer-no-record,irr-RADB-some-oldcomer-exact-record,all-newcomers-are-rel-upstream,all-newcomers-are-rel-neighbor,all-newcomers-are-providers,irr-RADB-some-oldcomer-more-specific-record,some-newcomers-are-customers,some-newcomers-are-rel-downstream,irr-APNIC-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-TC-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-BELL-all-newcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,some-newcomers-are-peers,irr-NTTCOM-all-oldcomer-exact-record,irr-AFRINIC-all-oldcomer-more-specific-record,irr-APNIC-all-oldcomer-exact-record,irr-APNIC-some-newcomer-no-record,irr-APNIC-some-newcomer-exact-record,irr-APNIC-all-oldcomer-more-specific-record,skipped-pfx-event,irr-NTTCOM-some-oldcomer-exact-record,irr-NTTCOM-some-oldcomer-no-record,irr-APNIC-some-oldcomer-no-record,irr-APNIC-some-oldcomer-more-specific-record,some-newcomer-announced-no-pfxs,irr-AFRINIC-all-oldcomer-exact-record,irr-ARIN-all-oldcomer-exact-record,irr-RIPE-all-oldcomer-exact-record,irr-RIPE-some-newcomer-no-record,irr-RIPE-some-newcomer-more-specific-record
moas-1582041300-18013_34806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1582777800-137443_18013_40065,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583736600-137443_18013,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583739600-18013_34806,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1585234500-18013_40065_54600,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1597823700-18013_4821,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1599716700-18013_18254,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1599722100-18013_18254,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1599723300-18013_18254,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1599768000-18013_18254,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
