event_id,hegemony-valley-paths,some-victims-stub-ases,irr-RADB-all-oldcomer-no-record,rpki-all-oldcomer-unknown-roa,rpki-all-newcomer-unknown-roa,all-victims-stub-ases,irr-LACNIC-all-oldcomer-no-record,irr-LACNIC-all-newcomer-no-record,not-previously-announced-by-any-newcomer,rpki-some-newcomer-unknown-roa,irr-RADB-all-newcomer-exact-record,rpki-some-oldcomer-unknown-roa,oldcomer-path-prepending,irr-RADB-all-newcomer-more-specific-record,irr-RADB-some-oldcomer-no-record,irr-RADB-some-oldcomer-more-specific-record,prefix-small-edit-distance,irr-RADB-all-oldcomer-exact-record,rpki-all-newcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-some-oldcomer-valid-roa,rpki-some-newcomer-invalid-roa,rpki-all-oldcomer-valid-roa,all-origins-same-country,irr-RADB-all-newcomer-no-record,irr-RADB-all-oldcomer-more-specific-record,newcomer-more-specific,outdated-info,rpki-some-oldcomer-invalid-roa,rpki-all-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,rpki-oldcomer-invalid-roa-due-to-length,single-Tier-1-upstream-on-subpaths-1-hop,single-Tier-1-upstream-on-subpaths-2-hops,previously-announced-by-all-newcomers,previously-announced-by-some-newcomers,newcomers-always-on-oldcomer-originated-paths,has-as-trans,some-siblings,irr-RADB-some-oldcomer-exact-record,irr-TC-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-TC-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-REACH-all-newcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-BELL-all-newcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-RIPE-all-oldcomer-exact-record,irr-NTTCOM-all-newcomer-exact-record,irr-APNIC-all-oldcomer-exact-record,irr-LEVEL3-all-oldcomer-more-specific-record,irr-LEVEL3-all-oldcomer-exact-record,irr-ARIN-all-oldcomer-exact-record,irr-NTTCOM-all-oldcomer-exact-record
moas-1578541200-198949_20249,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578716700-198949_20249,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1579399500-18662_198949,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1579400400-18662_198949,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1580112600-1836_198949,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1580184000-198949_5396,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1581372900-196784_198949,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1581721500-11931_174_198949,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1581721800-11931_198949,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1581977400-196784_198949,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
