event_id,rpki-some-oldcomer-unknown-roa,not-previously-announced-by-any-newcomer,all-origins-same-country,oldcomer-path-prepending,irr-RADB-all-oldcomer-more-specific-record,irr-LACNIC-all-oldcomer-no-record,rpki-some-newcomer-unknown-roa,irr-LACNIC-all-newcomer-no-record,rpki-all-newcomer-unknown-roa,rpki-all-oldcomer-unknown-roa,hegemony-valley-paths,irr-RADB-all-newcomer-no-record,irr-RADB-all-oldcomer-no-record,some-victims-stub-ases,all-victims-stub-ases,irr-RADB-all-oldcomer-exact-record,prefix-small-edit-distance,previously-announced-by-some-newcomers,previously-announced-by-all-newcomers,newcomers-always-on-oldcomer-originated-paths,rpki-some-oldcomer-invalid-roa,rpki-some-newcomer-invalid-roa,rpki-all-oldcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-all-newcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,newcomer-more-specific,outdated-info,rpki-oldcomer-invalid-roa-due-to-length,rpki-some-oldcomer-valid-roa,rpki-all-oldcomer-valid-roa,single-Tier-1-upstream-on-subpaths-1-hop,irr-OPENFACE-all-newcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-TC-all-newcomer-no-record,irr-BELL-all-newcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-TC-all-oldcomer-more-specific-record,irr-TC-all-oldcomer-exact-record,irr-ALTDB-all-oldcomer-more-specific-record,irr-ALTDB-all-oldcomer-exact-record
moas-1578173400-265144_28598,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578375900-27064_28598,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578434400-265144_28598,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578534900-265999_28598,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578534900-269010_28598,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1578535200-265999_28598,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1579005000-265088_28598,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1579006800-266306_28598,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1579272300-265996_28598,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1580850000-262676_28598,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
