event_id,irr-LACNIC-all-newcomer-no-record,newcomers-always-on-oldcomer-originated-paths,some-newcomer-announced-no-pfxs,irr-LACNIC-all-oldcomer-no-record,rpki-some-oldcomer-valid-roa,hegemony-valley-paths,rpki-all-oldcomer-valid-roa,irr-RADB-all-oldcomer-no-record,some-victims-stub-ases,rpki-some-newcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,irr-RADB-all-newcomer-no-record,not-previously-announced-by-any-newcomer,all-newcomer-announced-no-pfxs,all-victims-stub-ases,rpki-all-newcomer-invalid-roa,all-origins-same-country,rpki-some-newcomer-unknown-roa,rpki-all-newcomer-unknown-roa,rpki-some-oldcomer-unknown-roa,rpki-all-oldcomer-unknown-roa,prefix-small-edit-distance,irr-RADB-all-oldcomer-exact-record,oldcomer-path-prepending,rpki-oldcomer-invalid-roa-due-to-length,rpki-all-oldcomer-invalid-roa,rpki-some-oldcomer-invalid-roa,outdated-info,newcomer-more-specific,previously-announced-by-some-newcomers,some-siblings,rpki-oldcomer-invalid-roa-due-to-as,previously-announced-by-all-newcomers,single-Tier-1-upstream-on-subpaths-2-hops,irr-RADB-all-oldcomer-more-specific-record,irr-ALTDB-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-BELL-all-newcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-TC-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-TC-all-newcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-RIPE-all-oldcomer-exact-record,irr-ARIN-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-RIPE-all-oldcomer-more-specific-record,moas-transition,moas-potential-transfer
moas-1586560500-202468_41689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1590747900-41689_60256,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1591185900-209638_41689,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1595260800-201999_41689,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608808500-41689_57497,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608810300-41689_57497,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608812700-41689_59441,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608814500-41689_57230,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608815100-41689_57497,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1608815700-209638_41689,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
