event_id,rpki-some-newcomer-unknown-roa,irr-LACNIC-all-newcomer-no-record,some-victims-stub-ases,not-previously-announced-by-any-newcomer,rpki-all-oldcomer-unknown-roa,all-victims-stub-ases,all-origins-same-country,irr-RADB-all-oldcomer-no-record,irr-LACNIC-all-oldcomer-no-record,newcomers-always-on-oldcomer-originated-paths,rpki-some-oldcomer-unknown-roa,hegemony-valley-paths,rpki-all-newcomer-unknown-roa,irr-RADB-all-newcomer-no-record,irr-RADB-all-oldcomer-exact-record,rpki-some-newcomer-invalid-roa,rpki-newcomer-invalid-roa-due-to-as,rpki-some-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-length,newcomer-more-specific,outdated-info,rpki-all-oldcomer-invalid-roa,rpki-all-newcomer-invalid-roa,prefix-small-edit-distance,irr-ALTDB-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-TC-all-newcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-BELL-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-RIPE-all-oldcomer-exact-record,irr-CANARIE-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,rpki-all-oldcomer-valid-roa,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-ARIN-all-oldcomer-no-record,rpki-some-oldcomer-valid-roa,irr-JPIRR-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-TC-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-BBOI-all-oldcomer-no-record,oldcomer-path-prepending,irr-RADB-all-oldcomer-more-specific-record,irr-RIPE-all-oldcomer-more-specific-record,irr-RIPE-all-oldcomer-no-record,some-newcomers-stub-ases,some-newcomers-are-providers,rpki-some-newcomer-valid-roa,some-newcomers-are-rel-upstream,previously-announced-by-some-newcomers,some-newcomers-are-rel-neighbor,some-newcomer-announced-no-pfxs
moas-1583587500-43754_47796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1584266100-43754_47796,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1617456600-58080=43754,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653772200-749=43754,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653772200-44087=43754,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653871500-8075=43754,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653901800-749=43754,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1654055100-19624=43754,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1654119000-29009=43754,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1661297400-25374=43754,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
