event_id,hegemony-valley-paths,irr-RADB-all-newcomer-no-record,irr-LACNIC-all-oldcomer-no-record,rpki-some-newcomer-invalid-roa,not-previously-announced-by-any-newcomer,rpki-newcomer-invalid-roa-due-to-as,some-victims-stub-ases,rpki-all-newcomer-invalid-roa,all-victims-stub-ases,rpki-some-oldcomer-valid-roa,irr-LACNIC-all-newcomer-no-record,irr-RADB-all-oldcomer-no-record,rpki-all-oldcomer-valid-roa,irr-RADB-all-oldcomer-exact-record,irr-RADB-all-newcomer-exact-record,rpki-some-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,rpki-all-oldcomer-unknown-roa,rpki-some-newcomer-unknown-roa,rpki-some-oldcomer-unknown-roa,rpki-all-newcomer-unknown-roa,oldcomer-path-prepending,irr-RADB-all-oldcomer-more-specific-record,irr-RADB-all-newcomer-more-specific-record,prefix-small-edit-distance,rpki-all-oldcomer-invalid-roa,all-origins-same-country,rpki-some-newcomer-valid-roa,rpki-all-newcomer-valid-roa,irr-RADB-some-oldcomer-no-record,irr-RADB-some-oldcomer-exact-record,previously-announced-by-some-newcomers,previously-announced-by-all-newcomers,rpki-newcomer-invalid-roa-due-to-length,rpki-oldcomer-invalid-roa-due-to-length,has-dps-asn,newcomer-more-specific,outdated-info,single-Tier-1-upstream-on-subpaths-1-hop,oldcomers-always-on-newcomer-originated-paths,all-newcomers-next-to-an-oldcomer,single-Tier-1-upstream-on-subpaths-2-hops,some-newcomers-are-rel-upstream,some-newcomers-are-rel-neighbor,some-newcomers-are-providers,newcomers-always-on-oldcomer-originated-paths,irr-NTTCOM-all-oldcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-REACH-all-newcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-RIPE-all-oldcomer-exact-record,irr-LEVEL3-all-newcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-TC-all-newcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-BBOI-all-oldcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-BELL-all-newcomer-no-record,irr-NTTCOM-all-newcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-RIPE-all-newcomer-exact-record,irr-ARIN-all-oldcomer-exact-record
moas-1578994800-42993_61317,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1580931000-39384_61317,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1581653400-54406_61317,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1582302300-56264_61317,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1582758300-12679_61317,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1582929000-134121_49060_61317,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583012400-20891_61317,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583432100-42366_61317,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583432400-42366_61317,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1583583000-49060_61317,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
