event_id,oldcomers-always-on-newcomer-originated-paths,hegemony-valley-paths,some-newcomer-announced-no-pfxs,all-newcomer-announced-no-pfxs,rpki-all-oldcomer-valid-roa,not-previously-announced-by-any-newcomer,rpki-newcomer-invalid-roa-due-to-as,rpki-some-newcomer-invalid-roa,rpki-all-newcomer-invalid-roa,oldcomer-path-prepending,rpki-some-oldcomer-valid-roa,rpki-all-oldcomer-invalid-roa,rpki-some-oldcomer-invalid-roa,rpki-oldcomer-invalid-roa-due-to-as,newcomer-more-specific,outdated-info,rpki-all-newcomer-unknown-roa,rpki-all-oldcomer-unknown-roa,all-origins-same-country,rpki-some-newcomer-unknown-roa,rpki-some-oldcomer-unknown-roa,irr-RADB-all-oldcomer-exact-record,all-newcomers-stub-ases,some-newcomers-stub-ases,irr-LACNIC-all-newcomer-no-record,irr-LACNIC-all-oldcomer-no-record,irr-RADB-all-newcomer-exact-record,all-victims-stub-ases,irr-RADB-all-oldcomer-no-record,some-victims-stub-ases,rpki-some-newcomer-valid-roa,rpki-all-newcomer-valid-roa,irr-RADB-all-newcomer-more-specific-record,previously-announced-by-some-newcomers,previously-announced-by-all-newcomers,some-siblings,irr-RADB-all-newcomer-no-record,single-Tier-1-upstream-on-subpaths-2-hops,has-dps-asn,prefix-small-edit-distance,irr-RADB-some-oldcomer-no-record,irr-RADB-some-oldcomer-more-specific-record,irr-RADB-all-oldcomer-more-specific-record,irr-RADB-some-oldcomer-exact-record,irr-RADB-some-newcomer-no-record,irr-RADB-some-newcomer-exact-record,rpki-newcomer-invalid-roa-due-to-length,has-private-asn,moas-transition,moas-potential-transfer,irr-LACNIC-all-oldcomer-exact-record,irr-NTTCOM-all-newcomer-no-record,irr-NESTEGG-all-newcomer-no-record,irr-CANARIE-all-newcomer-no-record,irr-RIPE-all-newcomer-no-record,irr-ALTDB-all-oldcomer-no-record,irr-AFRINIC-all-newcomer-no-record,irr-JPIRR-all-newcomer-no-record,irr-WCGDB-all-oldcomer-no-record,irr-PANIX-all-newcomer-no-record,irr-RIPE-NONAUTH-all-oldcomer-no-record,irr-OPENFACE-all-newcomer-no-record,irr-ALTDB-all-newcomer-no-record,irr-PANIX-all-oldcomer-no-record,irr-REACH-all-newcomer-no-record,irr-TC-all-newcomer-no-record,irr-BELL-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-no-record,irr-ARIN-all-newcomer-no-record,irr-LEVEL3-all-newcomer-no-record,irr-TC-all-oldcomer-no-record,irr-NTTCOM-all-oldcomer-no-record,irr-REACH-all-oldcomer-no-record,irr-BBOI-all-newcomer-no-record,irr-IDNIC-all-oldcomer-no-record,irr-JPIRR-all-oldcomer-no-record,irr-APNIC-all-newcomer-no-record,irr-ARIN-all-oldcomer-exact-record,irr-BBOI-all-oldcomer-no-record,irr-CANARIE-all-oldcomer-no-record,irr-APNIC-all-oldcomer-no-record,irr-RIPE-all-oldcomer-no-record,irr-IDNIC-all-newcomer-no-record,irr-NESTEGG-all-oldcomer-no-record,irr-WCGDB-all-newcomer-no-record,irr-RIPE-NONAUTH-all-newcomer-no-record,irr-OPENFACE-all-oldcomer-no-record,irr-LEVEL3-all-oldcomer-no-record,irr-BELL-all-newcomer-no-record,irr-ARIN-all-oldcomer-no-record,irr-AFRINIC-all-oldcomer-exact-record,irr-RIPE-all-oldcomer-exact-record,irr-ARIN-all-newcomer-exact-record,irr-RIPE-all-newcomer-exact-record,irr-NTTCOM-all-oldcomer-exact-record,irr-RIPE-some-oldcomer-no-record,irr-RIPE-some-oldcomer-exact-record,irr-RIPE-all-oldcomer-more-specific-record,irr-APNIC-all-oldcomer-exact-record,irr-ARIN-all-newcomer-more-specific-record,irr-RIPE-all-newcomer-more-specific-record,irr-LEVEL3-all-oldcomer-exact-record,irr-BBOI-all-oldcomer-exact-record,irr-AFRINIC-some-oldcomer-no-record,irr-AFRINIC-some-oldcomer-exact-record,irr-ALTDB-all-oldcomer-exact-record,irr-APNIC-some-oldcomer-exact-record,irr-APNIC-some-oldcomer-no-record,irr-LACNIC-all-newcomer-exact-record
moas-1620644700-61317_834,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1625040600-13030=834,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1633350000-19009_834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1648035000-1239_834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1648036200-47583_834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1648036200-1239_834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1648036200-21769=834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1648037100-46573_834,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1648054800-30823_834,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1653565200-49999_834,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1653565200-35758_834,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1653565200-1239_834,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moas-1653565200-50673_834,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653565200-2914=834,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submoas-1653565200-1239=834,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
